counter,X,E,N,S,W
95,0,1,7,1,8
96,0,2,5,4,6
97,0,4,3,1,9
98,0,2,3,4,8
99,0,3,2,4,8
100,0,1,4,4,8
101,0,3,6,1,7
102,0,2,4,2,9
103,0,4,2,3,8
104,0,4,3,5,5
105,0,4,4,4,5
106,0,4,5,1,7
107,0,7,4,4,2
108,0,3,5,1,8
109,0,3,2,3,9
110,0,2,1,5,9
111,0,4,6,2,5
112,0,8,2,4,3
113,0,3,7,2,5
114,0,3,1,3,10
115,0,4,2,6,5
116,0,7,3,4,3
117,0,7,1,8,1
118,0,5,1,6,5
119,0,4,5,5,3
120,0,8,5,3,1
121,0,7,7,3,0
122,0,7,5,2,3
123,0,6,5,3,3
124,0,10,4,1,2
125,0,9,3,1,4
126,0,7,2,4,4
127,0,8,3,3,3
128,0,8,3,1,5
129,0,6,5,2,4
130,0,5,5,3,4
131,0,7,1,2,7
132,0,5,2,3,7
133,0,7,3,2,5
134,0,6,3,2,6
135,0,5,5,2,5
136,0,6,4,3,4
137,0,7,5,5,0
138,0,3,2,5,7
139,0,9,4,2,2
140,0,10,5,1,1
141,0,5,6,2,4
142,0,9,2,0,6
143,0,5,1,4,7
144,0,3,7,5,2
145,0,5,3,6,3
146,0,8,1,6,2
147,0,7,1,9,0
148,0,9,3,4,1
149,0,7,6,2,2
150,0,4,8,4,1
151,0,4,4,5,4
152,0,9,2,3,3
153,0,13,2,0,2
154,0,10,3,2,2
155,0,7,3,7,0
156,0,10,2,4,1
157,0,7,4,3,3
158,0,9,4,2,2
159,0,6,4,4,3
160,0,3,4,6,4
161,0,5,4,7,1
162,0,3,2,10,2
163,0,5,2,5,5
164,0,5,2,4,6
165,0,8,0,4,5
166,0,6,3,5,3
167,0,5,4,4,4
168,0,2,5,0,10
169,0,4,1,2,10
170,0,7,0,3,7
171,0,5,5,4,3
172,0,3,6,6,2
173,0,6,2,6,3
174,0,5,2,5,5
175,0,5,0,6,6
176,0,7,0,5,5
177,0,5,2,2,8
178,0,2,2,4,9
179,0,7,4,3,3
180,0,5,3,3,6
181,0,5,3,3,6
182,0,6,1,7,3
183,0,3,3,9,2
184,0,7,1,5,4
185,0,4,4,5,4
186,0,6,4,1,6
187,0,3,5,4,5
188,0,5,3,4,5
189,0,8,2,4,3
190,0,1,3,6,7
191,0,5,0,6,6
192,0,7,2,5,3
193,0,8,4,3,2
194,0,8,2,4,3
195,0,8,3,2,4
196,0,8,3,0,6
197,0,5,6,2,4
198,0,2,6,7,2
199,0,3,2,5,7
200,0,3,2,6,6
201,0,5,5,4,3
202,0,2,4,4,7
203,0,4,3,3,7
204,0,6,2,3,6
205,0,5,2,4,6
206,0,5,2,4,6
207,0,8,2,3,4
208,0,7,2,2,6
209,0,4,7,1,5
210,0,7,2,4,4
211,0,4,3,6,4
212,0,7,2,5,3
213,0,7,1,7,2
214,0,4,3,5,5
215,0,9,2,4,2
216,0,4,2,7,4
217,0,3,3,8,3
218,0,5,2,8,2
219,0,4,5,6,2
220,0,5,5,6,1
221,0,6,6,2,3
222,0,6,3,4,4
223,0,9,1,6,1
224,0,9,3,4,1
225,0,0,6,2,9
226,0,0,3,2,12
227,0,0,8,4,5
228,0,0,13,0,4
229,0,0,8,4,5
230,0,0,4,1,12
231,0,0,4,3,10
232,0,0,10,0,7
233,0,0,7,2,8
234,0,0,3,2,12
235,0,0,6,2,9
