counter,X,E,N,S,W
96,0,2,0,1,15
97,0,3,2,1,12
98,0,1,2,3,12
99,0,2,2,2,12
100,0,4,2,0,12
101,0,2,2,1,13
102,0,4,4,1,9
103,0,3,5,2,8
104,0,2,3,6,7
105,0,4,7,3,4
106,0,1,8,2,7
107,0,5,7,2,4
108,0,4,5,2,7
109,0,2,8,2,6
110,0,3,5,3,7
111,0,1,6,3,8
112,0,2,5,3,8
113,0,4,2,5,7
114,0,5,2,7,4
115,0,5,3,6,4
116,0,8,1,6,3
117,0,8,1,8,1
118,0,8,0,7,3
119,0,6,6,1,5
120,0,5,2,4,7
121,0,9,2,2,5
122,0,10,2,5,1
123,0,8,4,2,4
124,0,7,7,1,3
125,0,8,3,4,3
126,0,10,1,5,2
127,0,13,1,2,2
128,0,11,1,6,0
129,0,7,3,7,1
130,0,6,3,7,2
131,0,4,5,7,2
132,0,7,4,5,2
133,0,6,6,5,1
134,0,6,4,3,5
135,0,7,1,2,8
136,0,8,0,5,5
137,0,11,2,2,3
138,0,6,1,4,7
139,0,5,2,6,5
140,0,8,3,4,3
141,0,9,3,4,2
142,0,10,2,5,1
143,0,2,7,8,1
144,0,3,3,10,2
145,0,5,5,6,2
146,0,12,4,1,1
147,0,5,6,3,4
148,0,7,2,5,4
149,0,11,2,2,3
150,0,11,1,2,4
151,0,8,4,3,3
152,0,9,3,4,2
153,0,9,2,4,3
154,0,9,3,5,1
155,0,5,9,3,1
156,0,4,7,5,2
157,0,4,5,6,3
158,0,4,6,4,4
159,0,5,5,4,4
160,0,8,4,3,3
161,0,2,8,5,3
162,0,3,9,3,3
163,0,2,6,5,5
164,0,9,5,3,1
165,0,8,4,5,1
166,0,8,4,4,2
167,0,11,2,4,1
168,0,12,0,3,3
169,0,12,2,3,1
170,0,7,4,6,1
171,0,3,5,7,3
172,0,4,4,4,6
173,0,3,6,4,5
174,0,5,5,2,6
175,0,5,4,2,7
176,0,10,3,2,3
177,0,6,5,6,1
178,0,1,3,7,7
179,0,2,1,10,5
180,0,7,2,6,3
181,0,8,4,3,3
182,0,6,4,5,3
183,0,7,5,1,5
184,0,5,3,3,7
185,0,9,2,4,3
186,0,11,3,4,0
187,0,9,2,3,4
188,0,7,3,2,6
189,0,2,5,6,5
190,0,6,2,5,5
191,0,5,2,7,4
192,0,5,3,4,6
193,0,6,7,3,2
194,0,7,3,5,3
195,0,6,2,3,7
196,0,9,3,3,3
197,0,7,1,6,4
198,0,3,4,9,2
199,0,4,4,8,2
200,0,4,0,12,2
201,0,7,2,8,1
202,0,8,2,5,3
203,0,6,5,6,1
204,0,7,2,7,2
205,0,4,2,9,3
206,0,13,0,3,2
207,0,11,3,3,1
208,0,8,0,7,3
209,0,8,4,5,1
210,0,6,3,5,4
211,0,5,4,7,2
212,0,6,2,8,2
213,0,7,2,6,3
214,0,6,3,6,3
215,0,7,0,10,1
216,0,7,2,6,3
217,0,6,4,5,3
218,0,12,1,3,2
219,0,11,1,2,4
220,0,9,0,6,3
221,0,6,6,3,3
222,0,7,5,2,4
223,0,9,2,3,4
224,0,9,1,4,4
225,0,2,1,11,4
226,0,4,2,7,5
227,0,0,5,1,12
228,0,0,7,7,4
229,0,0,8,1,9
230,0,0,2,1,15
231,0,0,2,2,14
232,0,0,2,2,14
233,0,0,4,7,7
234,0,0,1,0,17
235,0,0,8,1,9
